Path, Label
0,/mnist/training/01.jpg
0,/mnist/training/01000.jpg
0,/mnist/training/010005.jpg
0,/mnist/training/010010.jpg
0,/mnist/training/010022.jpg
0,/mnist/training/010025.jpg
0,/mnist/training/010026.jpg
0,/mnist/training/010045.jpg
0,/mnist/training/010069.jpg
0,/mnist/training/010071.jpg
0,/mnist/training/010080.jpg
0,/mnist/training/010083.jpg
0,/mnist/training/010107.jpg
0,/mnist/training/010119.jpg
0,/mnist/training/010120.jpg
0,/mnist/training/010121.jpg
0,/mnist/training/010128.jpg
0,/mnist/training/010140.jpg
0,/mnist/training/01015.jpg
0,/mnist/training/010167.jpg
0,/mnist/training/010168.jpg
0,/mnist/training/010176.jpg
0,/mnist/training/01018.jpg
0,/mnist/training/010188.jpg
0,/mnist/training/010195.jpg
0,/mnist/training/010203.jpg
0,/mnist/training/010204.jpg
0,/mnist/training/010221.jpg
0,/mnist/training/010230.jpg
0,/mnist/training/010237.jpg
0,/mnist/training/010240.jpg
0,/mnist/training/010242.jpg
0,/mnist/training/010245.jpg
0,/mnist/training/010254.jpg
0,/mnist/training/010259.jpg
0,/mnist/training/010261.jpg
0,/mnist/training/010265.jpg
0,/mnist/training/010272.jpg
0,/mnist/training/010276.jpg
0,/mnist/training/01028.jpg
0,/mnist/training/010283.jpg
0,/mnist/training/01029.jpg
0,/mnist/training/010323.jpg
0,/mnist/training/010326.jpg
0,/mnist/training/010334.jpg
0,/mnist/training/010340.jpg
0,/mnist/training/010343.jpg
0,/mnist/training/010348.jpg
0,/mnist/training/010352.jpg
0,/mnist/training/010363.jpg
0,/mnist/training/010366.jpg
0,/mnist/training/010372.jpg
0,/mnist/training/010380.jpg
0,/mnist/training/010384.jpg
0,/mnist/training/01040.jpg
0,/mnist/training/010407.jpg
0,/mnist/training/010425.jpg
0,/mnist/training/010439.jpg
0,/mnist/training/010456.jpg
0,/mnist/training/01046.jpg
0,/mnist/training/010469.jpg
0,/mnist/training/010471.jpg
0,/mnist/training/010479.jpg
0,/mnist/training/010488.jpg
0,/mnist/training/01049.jpg
0,/mnist/training/010505.jpg
0,/mnist/training/010523.jpg
0,/mnist/training/010530.jpg
0,/mnist/training/010531.jpg
0,/mnist/training/010542.jpg
0,/mnist/training/010563.jpg
0,/mnist/training/010564.jpg
0,/mnist/training/010579.jpg
0,/mnist/training/010599.jpg
0,/mnist/training/010604.jpg
0,/mnist/training/010625.jpg
0,/mnist/training/010645.jpg
0,/mnist/training/010664.jpg
0,/mnist/training/010689.jpg
0,/mnist/training/010691.jpg
0,/mnist/training/010700.jpg
0,/mnist/training/010705.jpg
0,/mnist/training/010732.jpg
0,/mnist/training/010747.jpg
0,/mnist/training/010750.jpg
